,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237447,1164642,NORMAL,358,9,2022-09-19 07:27:00,09 - EASO,19/09/2022 7:33,4.0,04 - ANDIA,3987,P15911,88.0,FIT,Ordinario,43.31328896200965,-1.9817650765547319,43.320524774991235,-1.9825648810534384,2022-09-19 07:27:00,True,True
237444,1164646,NORMAL,275,9,2022-09-19 07:28:00,09 - EASO,19/09/2022 7:33,18.0,18 - TERESA DE CALCUTA,20905,P32394,732.0,EFIT,Dbizi Ordinario,43.31328896200965,-1.9817650765547319,43.320289499766545,-1.9755618544813616,2022-09-19 07:28:00,True,True
237442,1164648,NORMAL,573,12,2022-09-19 07:29:00,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,19/09/2022 7:38,25.0,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,2517,P15833,144.0,FIT,Ordinario,43.32416306635694,-1.9733621599308762,43.308028841403846,-1.9788430368132444,2022-09-19 07:29:00,True,True
237440,1164650,NORMAL,343,9,2022-09-19 07:29:00,09 - EASO,19/09/2022 7:35,47.0,01 - UDALETXEA / AYUNTAMIENTO,13811,P15803,81.0,FIT,Ordinario,43.31328896200965,-1.9817650765547319,43.32145412113152,-1.9864178021210355,2022-09-19 07:29:00,True,True
237434,1164659,NORMAL,508,12,2022-09-19 07:31:00,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,19/09/2022 7:39,25.0,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,17021,P35474,855.0,EFIT,Dbizi Ordinario,43.32416306635694,-1.9733621599308762,43.308028841403846,-1.9788430368132444,2022-09-19 07:31:00,True,True
237435,1164658,NORMAL,964,26,2022-09-19 07:31:00,26 - JAVIER BARKAIZTEGI,19/09/2022 7:47,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,15711,P32316,714.0,EFIT,Dbizi Ordinario Grupal FN o FNE -5,43.30590821804648,-1.9805843656440028,43.30907225552243,-2.0106573112517827,2022-09-19 07:31:00,True,True
237438,1164654,NORMAL,647,37,2022-09-19 07:31:00,37 - ANDOAIN,19/09/2022 7:41,19.0,19 - FRANTZIA PASEALEKUA,2841,P15983,206.0,FIT,Ordinario Grupal empresa -5,43.298994502059585,-1.9916941032626039,43.31785597968304,-1.9773212084271625,2022-09-19 07:31:00,True,True
237432,1164663,NORMAL,661,20,2022-09-19 07:32:00,20 - TABAKALERA,19/09/2022 7:43,28.0,28 - ISABEL II,4437,P15843,153.0,FIT,Ordinario,43.317037588702135,-1.9750530324926516,43.30444212076648,-1.9760079804667197,2022-09-19 07:32:00,True,True
237431,1164664,NORMAL,641,36,2022-09-19 07:32:00,36 - ERRONDOGAINA / ALTO DE ERRONDO,19/09/2022 7:43,19.0,19 - FRANTZIA PASEALEKUA,4476,P32335,744.0,EFIT,Ordinario,43.30068417272159,-1.988182126986473,43.31785597968304,-1.9773212084271625,2022-09-19 07:32:00,True,True
237430,1164665,NORMAL,690,11,2022-09-19 07:33:00,11 - SAN FRANTZISKO-IPARRAGIRRE,19/09/2022 7:45,25.0,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,22844,P15814,159.0,FIT,Dbizi Ordinario,43.322754906556675,-1.9754242189721487,43.308028841403846,-1.9788430368132444,2022-09-19 07:33:00,True,True
